edge_energy,edge_slope,wl_energy,wl_intensity,curvature_wl,pit_energy,pit_intensity,curvature_pit
6.548399769999999990e+03,-1.254877963084458861e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.229923431727398597e-03,6.557753639999999905e+03,8.552576972497014651e-01,1.155505778258680838e-03
6.548399769999999990e+03,-1.257736716634603363e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.232736725241324383e-03,6.557930070000000342e+03,8.561305644680770044e-01,8.322018703172395782e-04
6.548399769999999990e+03,-1.268028607610949985e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.092153894777987189e-03,6.557930070000000342e+03,8.561898099511775495e-01,9.546721655784295990e-04
6.548399769999999990e+03,-1.260299582142218787e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.194608823128940678e-03,6.557930070000000342e+03,8.565376084139805224e-01,9.550612471024566563e-04
6.548399769999999990e+03,-1.259595026283456718e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.176309548507282532e-03,6.557930070000000342e+03,8.576246089761582203e-01,8.949310292927226129e-04
6.548399769999999990e+03,-1.258412417216806170e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.196641026713241907e-03,6.557930070000000342e+03,8.585200464646526308e-01,7.932314818687169478e-04
6.548399769999999990e+03,-1.259017546279094677e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.155543533316484073e-03,6.557930070000000342e+03,8.591169283130482004e-01,9.964305012500895842e-04
6.548399769999999990e+03,-1.265672329012930277e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.277743485084166020e-03,6.557753639999999905e+03,8.592679918144406903e-01,1.016849770126920793e-03
6.548399769999999990e+03,-1.257976064853994831e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.260669443284707425e-03,6.557753639999999905e+03,8.602865551267298017e-01,1.160884308713777680e-03
6.548399769999999990e+03,-1.264023654452537630e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.020694029612496445e-03,6.557753639999999905e+03,8.619396523606156491e-01,1.183840946641645520e-03
6.548399769999999990e+03,-1.265733488476280399e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.206730249376037678e-03,6.557753639999999905e+03,8.630192630387313324e-01,9.194709372400133862e-04
6.548399769999999990e+03,-1.259323246618099802e+04,6.553165640000000167e+03,1.000000000000000000e+00,-1.984492642565199860e-03,6.557930070000000342e+03,8.635814748389246676e-01,8.183474814701385824e-04
6.548399769999999990e+03,-1.259028007754793362e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.311258726228976323e-03,6.557753639999999905e+03,8.641061683445585562e-01,1.022680852313606614e-03
6.548399769999999990e+03,-1.262256178692962203e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.087920275834681538e-03,6.557753639999999905e+03,8.642442424574905413e-01,9.825507180398485030e-04
6.548399769999999990e+03,-1.223573646049221679e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.150727576801070295e-03,6.557930070000000342e+03,8.642378821044061077e-01,9.627066296157837932e-04
6.548399769999999990e+03,-1.259422651938574381e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.275165668955247966e-03,6.557930070000000342e+03,8.652937948074406194e-01,8.198795203443187685e-04
6.548399769999999990e+03,-1.259991166921358672e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.093362489357819545e-03,6.557753639999999905e+03,8.668457271475208392e-01,9.851117596977876367e-04
6.548399769999999990e+03,-1.389996067899658192e+04,6.552989150000000336e+03,1.000000000000000000e+00,-2.095860224829632079e-03,6.557753639999999905e+03,8.674265669548971713e-01,9.862871646256765601e-04
6.548399769999999990e+03,-1.246229701471450244e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.158255973285810869e-03,6.557753639999999905e+03,8.677914055221475076e-01,1.027740939659932407e-03
6.548576310000000376e+03,-1.259028748862156317e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.077834700390746026e-03,6.557753639999999905e+03,8.680060649731917710e-01,9.874857982055673666e-04
6.548399769999999990e+03,-1.265261465892794331e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.121027457660046300e-03,6.557930070000000342e+03,8.690317026143892232e-01,8.236999835573022288e-04
6.548576310000000376e+03,-1.259343548286453915e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.021284672106715696e-03,6.557930070000000342e+03,8.699777696636717961e-01,9.075155670682788500e-04
6.548399769999999990e+03,-1.263242854928330780e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.045585057162346843e-03,6.557753639999999905e+03,8.717273531831948308e-01,8.678239636446261063e-04
6.548399769999999990e+03,-1.260804036240288588e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.027822519543504010e-03,6.557753639999999905e+03,8.723713336679156383e-01,9.518350601939451483e-04
6.548399769999999990e+03,-1.258156626676202359e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.154064866631194564e-03,6.557930070000000342e+03,8.723302323277432047e-01,9.113351358823740256e-04
6.548399769999999990e+03,-1.252398857489922557e+04,6.553165640000000167e+03,1.000000000000000000e+00,-1.930735010223866288e-03,6.557753639999999905e+03,8.739416883647374013e-01,9.965083923735296167e-04
6.548399769999999990e+03,-1.253150300130352480e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.059165867266704586e-03,6.557753639999999905e+03,8.754516645132087715e-01,9.151848298963038975e-04
6.548399769999999990e+03,-2.200867195526647265e+03,6.553165640000000167e+03,1.000000000000000000e+00,-1.981045192770675145e-03,6.557753639999999905e+03,8.776339664086468817e-01,8.758305062776805539e-04
6.548576310000000376e+03,-1.255181337020774663e+04,6.553165640000000167e+03,1.000000000000000000e+00,-1.962720340414170206e-03,6.557930070000000342e+03,8.783948589088044212e-01,7.725601339927945510e-04
6.548399769999999990e+03,-1.259064137050438330e+04,6.553165640000000167e+03,1.000000000000000000e+00,-1.946623825871934832e-03,6.557753639999999905e+03,8.800209917215321420e-01,9.000518764782916570e-04
6.548576310000000376e+03,-1.249521007386936435e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.098977537665885906e-03,6.557753639999999905e+03,8.816176668756409152e-01,9.025603411963178946e-04
6.548576310000000376e+03,-1.256609662624087468e+04,6.553165640000000167e+03,1.000000000000000000e+00,-1.978772736519807118e-03,6.557753639999999905e+03,8.845575565204856217e-01,8.841324992960031270e-04
6.548576310000000376e+03,-1.362707457335397157e+04,6.553165640000000167e+03,1.000000000000000000e+00,-1.877962279764500142e-03,6.557753639999999905e+03,8.854654016341377831e-01,8.862293904506601816e-04
6.548576310000000376e+03,-1.257494476354616927e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.093630718561972914e-03,6.557753639999999905e+03,8.874937836085886600e-01,7.190246912233133614e-04
6.548576310000000376e+03,-1.247067103339760979e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.120729751590388901e-03,6.557753639999999905e+03,8.894675653471062482e-01,8.058773056043577743e-04
6.548576310000000376e+03,-1.257413032699862742e+04,6.553165640000000167e+03,1.000000000000000000e+00,-2.000803897463765413e-03,6.557753639999999905e+03,8.923822924938606960e-01,7.449801745876560854e-04
